row_id,engagement_score
89198,4.0234976
89199,3.6391535
89200,2.646596
89201,3.8464017
89202,1.9512849
89203,3.7800388
89204,3.8731194
89205,4.0354524
89206,2.8791745
89207,4.164024
89208,4.0467324
89209,4.1006007
89210,3.7111363
89211,4.221452
89212,3.367116
89213,4.008392
89214,2.511313
89215,4.0404143
89216,4.239889
89217,3.2123318
89218,4.1808205
89219,2.7655847
89220,2.899637
89221,3.3766022
89222,3.511116
89223,4.1472645
89224,3.7693486
89225,3.6127615
89226,3.5905185
89227,3.1476827
89228,3.7272663
89229,3.2754645
89230,2.4958408
89231,3.576345
89232,3.729412
89233,2.6168027
89234,3.5145817
89235,4.1067166
89236,3.3028073
89237,4.276445
89238,3.7658138
89239,3.7002077
89240,3.678142
89241,3.8410354
89242,4.092558
89243,4.195887
89244,4.159241
89245,3.886333
89246,3.530355
89247,2.5262597
89248,4.181617
89249,3.0503936
89250,4.121356
89251,2.947842
89252,3.6343327
89253,2.4566338
89254,3.4152317
89255,3.426427
89256,3.0988235
89257,3.8734002
89258,4.402542
89259,3.2922668
89260,2.7096677
89261,2.8166924
89262,3.8655167
89263,3.7299695
89264,4.213047
89265,2.5070152
89266,3.7632737
89267,3.98281
89268,3.6240487
89269,3.310423
89270,3.7517571
89271,3.3309207
89272,3.8053308
89273,4.269978
89274,3.4272594
89275,3.5294914
89276,3.3034573
89277,2.8523123
89278,3.882681
89279,2.9495265
89280,3.280507
89281,3.63656
89282,3.236063
89283,4.187774
89284,4.110555
89285,2.9200468
89286,3.675332
89287,3.3684053
89288,3.9450026
89289,4.2036653
89290,3.5704632
89291,3.1733718
89292,4.17437
89293,4.3740993
89294,3.4939055
89295,3.4111156
89296,3.4102287
89297,4.1175194
89298,3.8293242
89299,4.37183
89300,3.8544354
89301,4.142107
89302,3.4062557
89303,2.3801725
89304,4.1105623
89305,4.1723876
89306,3.711708
89307,3.7702088
89308,3.6873822
89309,4.0535483
89310,3.274356
89311,2.7872336
89312,3.6575851
89313,3.8461847
89314,3.7870293
89315,3.5689154
89316,2.687271
89317,2.294518
89318,3.2052245
89319,2.8355505
89320,3.5941892
89321,3.5874548
89322,3.3342543
89323,4.306402
89324,3.4886842
89325,3.8308334
89326,4.1246343
89327,4.1601477
89328,3.0162892
89329,3.623538
89330,2.9430287
89331,4.2148194
89332,3.8864107
89333,4.3205004
89334,3.849008
89335,4.0282364
89336,2.7538705
89337,2.9411087
89338,3.7234387
89339,3.25875
89340,3.402903
89341,3.6179705
89342,3.569878
89343,2.6095448
89344,3.2918658
89345,3.8395162
89346,3.861928
89347,3.6084886
89348,3.2419643
89349,3.569425
89350,4.04975
89351,3.307322
89352,3.7065759
89353,4.099862
89354,2.9045823
89355,4.1328187
89356,4.075824
89357,3.986174
89358,3.451655
89359,3.5037928
89360,3.3237371
89361,4.161314
89362,3.9741144
89363,2.6627502
89364,4.1111164
89365,3.3405347
89366,3.6825542
89367,3.7250285
89368,4.1660457
89369,3.393828
89370,3.8506007
89371,4.2494016
89372,3.9480915
89373,3.1171298
89374,3.3305836
89375,3.997889
89376,4.034653
89377,4.1727347
89378,4.197508
89379,3.504284
89380,4.123774
89381,3.9648538
89382,3.8714113
89383,2.9059489
89384,3.7801023
89385,4.4279547
89386,3.178574
89387,3.2373805
89388,3.998642
89389,3.7174778
89390,4.187064
89391,3.676733
89392,3.320273
89393,2.9745677
89394,3.6973472
89395,3.068729
89396,3.639021
89397,3.6253028
